5,AWOL,Hip-Hop,This World,AWOL - A Way Of Life,2008,-74.4056612
10,Kurt Vile,Pop,Freeway,Constant Hitmaker,2008,0.0
140,Alec K. Redfearn & the Eyesores,Folk,Queen Of The Wires,The Blind Spot,2008,-71.4128343
141,Alec K. Redfearn & the Eyesores,Folk,Ohio,Every Man For Himself,2008,-71.4128343
148,Contradiction,Avant-Garde,Blackout 2,Contradiction,2008,-87.6297982
182,Ariel Pink's Haunted Graffiti,Lo-Fi,Jules Lost His Jewels,Worn Copy,2008,0.0
190,Ed Askew,Folk,Castle Of Stars,Blue Piano,2008,-74.0059731
193,Ed Askew,Folk,Here With You,Blue Piano,2008,-74.0059731
194,Ed Askew,Folk,All I want to Do,Blue Piano,2008,-74.0059731
197,Ed Askew,Folk,Piano 2,Blue Piano,2008,-74.0059731
200,Ed Askew,Folk,Baby Come Home,Blue Piano,2008,-74.0059731
203,Ed Askew,Folk,Song For R,Blue Piano,2008,-74.0059731
204,Ed Askew,Folk,My Dream,Blue Piano,2008,-74.0059731
207,Ed Askew,Folk,Piano 3,Blue Piano,2008,-74.0059731
210,Ed Askew,Folk,In the French Court,Blue Piano,2008,-74.0059731
211,Ed Askew,Folk,In America,Blue Piano,2008,-74.0059731
212,Ed Askew,Folk,When I Arive,Blue Piano,2008,-74.0059731
213,Au,Pop,Boute,Au,2008,-122.6762071
255,Bird Names,Rock,We Want to be Old,On Opaque Things,2008,0.0
256,Black Elk,Metal,Toggle,Black Elk,2008,-122.6762071
368,Blah Blah Blah,Post-Punk,Vampires,30th Anniversary Blah Blah Blah,2008,0.0
424,Brian Joseph Davis,Avant-Garde,The Ambient Honky,The Definitive Host,2008,0.0
459,CAVE,Krautrock,Machines and Muscles,Butthash,2008,-87.6297982
534,Charles Manson,Folk,I Can See You,One Mind,2008,-122.4875593
540,Charles Manson,Folk,The Black Pirate,One Mind,2008,-122.4875593
546,Charles Manson,Folk,If You Have No One,One Mind,2008,-122.4875593
574,Clockcleaner,Punk,Caliente Queen,Babylon Rules,2008,0.0
602,Dora Bleu,Folk,Disappearing,Clones of Eros,2009,0.0
615,EKG,Electroacoustic,Immaterial; side A,Immaterial,2008,-87.6297982
620,Ed Askew,Folk,Arabesque,Viridian City,2008,-74.0059731
621,Ed Askew,Folk,Blue Eyed Baby,Rainy Day Song,2008,-74.0059731
